Date,signal,market_return,strategy_return,cum_market,cum_strategy
2024-06-18,0,0.0025213273947457537,0.0025213273947457537,1.0025213273947458,1.0025213273947458
2024-06-20,0,-0.0025259318472709014,-0.0,0.9999890268463111,1.0025213273947458
2024-06-21,0,-0.001562130321101196,-0.0,0.998426913666706,1.0025213273947458
2024-06-24,0,-0.003065171894990004,-0.0,0.9953665635517331,1.0025213273947458
2024-06-25,1,0.003933590015736899,0.0,0.9992819275281186,1.0025213273947458
2024-06-26,1,0.0015724312002203256,0.0015724312002203256,1.0008532296087802,1.0040977232088275
2024-06-27,0,0.0009073212238914774,0.0009073212238914774,1.0017613249860047,1.005008762383956
2024-06-28,1,-0.004083652583445674,-0.0,0.9976704797632296,1.005008762383956
2024-07-01,1,0.0026755639309195,0.0026755639309195,1.0003398109138273,1.0076977275788486
2024-07-02,1,0.006195317856513505,0.006195317856513505,1.0065372340069632,1.0139407353044858
2024-07-03,1,0.005084444409779065,0.005084444409779065,1.0116549166196442,1.019096060607952
2024-07-05,1,0.005448765178485582,0.005448765178485582,1.0171671867019652,1.0246488757365244
2024-07-08,1,0.0010166989647510949,0.0010166989647510949,1.018201339527664,1.025690635187719
2024-07-09,1,0.0007410719362856977,0.0007410719362856977,1.0189558999658763,1.0264507457327678
2024-07-10,0,0.010208065293514812,0.010208065293514812,1.0293574683239402,1.0369288219657848
2024-07-11,1,-0.008763028841120457,-0.0,1.0203371791411948,1.0369288219657848
2024-07-12,1,0.0055170270744306915,0.0055170270744306915,1.025966406983565,1.0426495863508276
2024-07-15,1,0.0028262026252154904,0.0028262026252154904,1.0288659959363649,1.0455963253489522
2024-07-16,0,0.006389375498743188,0.006389375498743188,1.0354398071222908,1.0522770328917126
2024-07-17,0,-0.013927543241993745,-0.0,1.0210186744341134,1.0522770328917126
2024-07-18,0,-0.007816403936922511,-0.0,1.0130379800475953,1.0522770328917126
2024-07-19,1,-0.007140265531926926,-0.0,1.0058046198761286,1.0522770328917126
2024-07-22,0,0.01079203564940956,0.01079203564940956,1.0166592991901726,1.0636332441437348
2024-07-23,0,-0.001558102589770738,-0.0,1.01507523970319,1.0636332441437348
2024-07-24,0,-0.02314909375473495,-0.0,0.9915771678111908,1.0636332441437348
2024-07-25,1,-0.005142620237842288,-0.0,0.9864778630006226,1.0636332441437348
2024-07-26,1,0.011090468702846357,0.011090468702846357,0.9974183648662818,1.0754294353492178
2024-07-29,0,0.0008133101292933098,0.0008133101292933098,0.9982295753255707,1.0763040930023275
2024-07-30,1,-0.004960171878030217,-0.0,0.9932781850582227,1.0763040930023275
2024-07-31,0,0.0157933986591674,0.0157933986591674,1.0089654234143015,1.093302592621607
2024-08-01,0,-0.013693502993456064,-0.0,0.9951491523684841,1.093302592621607
2024-08-02,0,-0.018381860868696753,-0.0,0.9768564591060451,1.093302592621607
2024-08-05,1,-0.02996879838863975,-0.0,0.9475812448284555,1.093302592621607
2024-08-06,0,0.010354085880061037,0.010354085880061037,0.9573925824157445,1.1046227415585044
2024-08-07,1,-0.007734647858502863,-0.0,0.949987487928416,1.1046227415585044
2024-08-08,1,0.023042611519136447,0.023042611519136447,0.9718776805607908,1.1300761342674404
2024-08-09,1,0.004671676849538509,0.004671676849538509,0.9764179790216498,1.1353554847821135
2024-08-12,1,4.303397765514916e-05,4.303397765514916e-05,0.9764599981711412,1.1354043436446761
2024-08-13,1,0.016847579753558328,0.016847579753558328,0.9929109858664888,1.1545331588767664
2024-08-14,1,0.0038237284285767004,0.0038237284285767004,0.9967076078301926,1.158947780138098
2024-08-15,1,0.016133247764330783,0.016133247764330783,1.0127877386159105,1.1776453718209872
2024-08-16,1,0.001989779357261412,0.001989779357261412,1.0148029627514958,1.179988626272011
2024-08-19,0,0.009722284736913167,0.009722284736913167,1.024669166107229,1.1914608116829464
2024-08-20,1,-0.0019845553982971165,-0.0,1.0226356533821621,1.1914608116829464
2024-08-21,0,0.004239676828782013,0.004239676828782013,1.0269712980660928,1.1965122204786405
2024-08-22,1,-0.008932805548120926,-0.0,1.0177975631569671,1.1965122204786405
2024-08-23,0,0.01148337085011919,0.01148337085011919,1.0294853100250463,1.2102522140330962
2024-08-26,1,-0.0031537266931381813,-0.0,1.0262385947226267,1.2102522140330962
2024-08-27,0,0.0015951960865450143,0.0015951960865450143,1.0278756465127896,1.2121828036286544
2024-08-28,0,-0.00597597320797616,-0.0,1.021733089188098,1.2121828036286544
2024-08-29,1,-3.937906806072977e-05,-0.0,1.021692854291239,1.2121828036286544
2024-08-30,0,0.010093051774424433,0.010093051774424433,1.03200485316716,1.2244174274257453
2024-09-03,0,-0.02115107439771169,-0.0,1.0101768417390218,1.2244174274257453
2024-09-04,0,-0.0016025435809103872,-0.0,1.0085579893257086,1.2244174274257453
2024-09-05,1,-0.003018017615584734,-0.0,1.005514143547585,1.2244174274257453
2024-09-06,1,-0.01726024985928465,-0.01726024985928465,0.988158718192909,1.2032836766963144
2024-09-09,1,0.0115800702824842,0.0115800702824842,0.9996016655998324,1.2172177862422238
2024-09-10,1,0.004472672652839682,0.004472672652839682,1.0040725566332938,1.2226620029472994
2024-09-11,1,0.010665025888896507,0.010665025888896507,1.0147810164441184,1.2357017248621025
2024-09-12,1,0.007495302358939249,0.007495302358939249,1.0223871069904789,1.2449636829154067
2024-09-13,1,0.005407711405364557,0.005407711405364557,1.027915881409649,1.251696087222773
2024-09-16,1,0.0012566297656613212,0.0012566297656613212,1.0292075911028242,1.253269005783539
2024-09-17,0,0.00026455008109871336,0.00026455008109871336,1.0294798680545179,1.2536005582006575
2024-09-18,1,-0.002896455862498093,-0.0,1.0264980250553677,1.2536005582006575
2024-09-19,0,0.01697685316676334,0.01697685316676334,1.0439247313027051,1.2748827508070026
2024-09-20,1,-0.0019410273951238066,-0.0,1.0418984448007993,1.2748827508070026
2024-09-23,1,0.0028092730585327352,0.0028092730585327352,1.0448254220315054,1.2784642445716328
2024-09-24,0,0.0025111788443470395,0.0025111788443470395,1.0474491655273468,1.2816746969358552
2024-09-25,1,-0.0018612489301417234,-0.0,1.0454996018886311,1.2816746969358552
2024-09-26,0,0.00403867571712313,0.00403867571712313,1.0497220357430406,1.2868509654116211
2024-09-27,0,-0.0012532169669905446,-0.0,1.0484065062772236,1.2868509654116211
2024-09-30,0,0.004236552581176722,0.0,1.052848135567515,1.2868509654116211
2024-10-01,1,-0.009324107094664358,-0.0,1.0430312667970658,1.2868509654116211
2024-10-02,0,0.00013839090212397487,0.00013839090212397487,1.0431756128350214,1.2870290538776235
2024-10-03,1,-0.001681413492255035,-0.0,1.0414216032848091,1.2870290538776235
2024-10-04,0,0.008970249395274354,0.008970249395274354,1.0507634147919003,1.2985740254698697
2024-10-07,1,-0.009586022165882668,-0.0,1.0406907734066067,1.2985740254698697
2024-10-08,1,0.009689347495581924,0.009689347495581924,1.050774387945589,1.3111563604513838
2024-10-09,0,0.007113411987488272,0.007113411987488272,1.0582489790729468,1.3204831558232901
2024-10-10,1,-0.002070122839989974,-0.0,1.0560582736909718,1.3204831558232901
2024-10-11,1,0.006051847587953629,0.006051847587953629,1.062449377407347,1.3284745186247926
2024-10-14,0,0.0077076668832223305,0.0077076668832223305,1.0706383832886897,1.3387139576772016
2024-10-15,1,-0.007609466332438197,-0.0,1.0624913965568383,1.3387139576772016
2024-10-16,0,0.004679145956573816,0.004679145956573816,1.0674629488789318,1.3449779956792758
2024-10-17,1,-0.00017116047891174713,-0.0,1.0672802414093812,1.3449779956792758
2024-10-18,0,0.00397155273894878,0.00397155273894878,1.0715190011753766,1.3503196467218417
2024-10-21,0,-0.0018227694906369774,-0.0,1.0695658690313963,1.3503196467218417
2024-10-22,0,-0.0004748538883844189,-0.0,1.0690579815196035,1.3503196467218417
2024-10-23,1,-0.009191323428069387,-0.0,1.0592319238480978,1.3503196467218417
2024-10-24,0,0.002145772011323821,0.002145772011323821,1.0615047940637918,1.353217124826118
2024-10-25,1,-0.00029944716993013376,-0.0,1.0611869294573422,1.353217124826118
2024-10-28,1,0.0026514435020339455,0.0026514435020339455,1.0640006066458951,1.3568051035785793
2024-10-29,0,0.001614127248163344,0.001614127248163344,1.0657180390171446,1.3589951596667125
2024-10-30,0,-0.003300233889343751,-0.0,1.0622009202282952,1.3589951596667125
2024-10-31,1,-0.018614700871699585,-0.0,1.0424283678326014,1.3589951596667125
2024-11-01,0,0.004092509543626166,0.004092509543626166,1.0466945158765029,1.3645568603273903
2024-11-04,1,-0.002812083478299976,-0.0,1.0437511235215793,1.3645568603273903
2024-11-05,1,0.012265644545291332,0.012265644545291332,1.0565534037964435,1.3812940297380047
2024-11-06,1,0.025295927786425976,0.025295927786425976,1.0832799024013808,1.4162351437660787
2024-11-07,1,0.007431229727488331,0.007431229727488331,1.0913300042152967,1.426759512467547
2024-11-08,1,0.0037568333092317108,0.0037568333092317108,1.0954299491264967,1.4321196101282483
2024-11-11,0,0.0009690634297987444,0.0009690634297987444,1.0964914902301015,1.4335074248695212
2024-11-12,1,-0.00289265965137242,-0.0,1.0933197135382398,1.4335074248695212
2024-11-13,0,0.00023222772482434095,0.00023222772482434095,1.0935736126878204,1.4338403250373175
2024-11-14,0,-0.006049734794859041,-0.0,1.0869577823524033,1.4338403250373175
2024-11-15,1,-0.013203489851361216,-0.0,1.072606146304255,1.4338403250373175
2024-11-18,1,0.003917814394541086,0.003917814394541086,1.0768084181039193,1.4394578453022222
2024-11-19,1,0.003963584828470035,0.003963584828470035,1.0810764396130847,1.4451632585790843
2024-11-20,1,2.195086225209586e-05,2.195086225209586e-05,1.0811001701730947,1.4451949811587053
2024-11-21,1,0.0053404615405816536,0.0053404615405816536,1.0868737440534204,1.452912989374225
2024-11-22,1,0.003467959094991535,0.003467959094991535,1.090642977739218,1.4579516321899566
2024-11-25,1,0.003020480305938378,0.003020480305938378,1.0939372433742893,1.4623553463819972
2024-11-26,0,0.005722005647630368,0.005722005647630368,1.1001967584590302,1.4707229519328373
2024-11-27,1,-0.003801238017440034,-0.0,1.0960146487141114,1.4707229519328373
2024-11-29,1,0.005607785488815242,0.005607785488815242,1.1021608637566993,1.4789704507607537
2024-12-02,1,0.0024484564662998753,0.0024484564662998753,1.104859456650467,1.4825916455243853
2024-12-03,1,0.0004514491145146682,0.0004514491145146682,1.105358244473835,1.483260960209944
2024-12-04,0,0.006051417924264779,0.006051417924264779,1.112047229167178,1.4922367921709208
2024-12-05,1,-0.0018697756269248078,-0.0,1.1099679503620918,1.4922367921709208
2024-12-06,0,0.0024954538421815275,0.0024954538421815275,1.1127378241485213,1.4959606002073884
2024-12-09,0,-0.006144213927296471,-0.0,1.1059009249119585,1.4959606002073884
2024-12-10,1,-0.002963883313944371,-0.0,1.1026231636137362,1.4959606002073884
2024-12-11,0,0.008165786048233592,0.008165786048233592,1.1116269484596324,1.508176294405269
2024-12-12,0,-0.005414022527810203,-0.0,1.105608575118151,1.508176294405269
2024-12-13,0,-2.6466639124200775e-05,-0.0,1.1055793133749807,1.508176294405269
2024-12-16,0,0.0037993543260221863,0.0,1.1097798009220126,1.508176294405269
2024-12-17,0,-0.003863994965801476,-0.0,1.1054916173581018,1.508176294405269
2024-12-18,0,-0.02949284635160343,-0.0,1.0728875229443737,1.508176294405269
2024-12-19,1,-0.0008651123249070469,-0.0,1.0719593547250355,1.508176294405269
2024-12-20,1,0.010869123768910471,0.010869123768910471,1.0836106136267833,1.5245688492144966
2024-12-23,1,0.007287273468533639,0.007287273468533639,1.0915071805016872,1.5356787993403302
2024-12-24,0,0.01104275925539211,0.01104275925539211,1.103560431521499,1.5526369306150551
2024-12-26,0,-0.00040565878647391695,-0.0,1.1031127625360475,1.5526369306150551
2024-12-27,0,-0.011055736101235558,-0.0,1.090917038943544,1.5526369306150551
2024-12-30,0,-0.010701995701766776,-0.0,1.079242049481786,1.5526369306150551
2024-12-31,0,-0.004284800394927402,-0.0,1.0746177127219443,1.5526369306150551
2025-01-02,1,-0.0022238866412221947,-0.0,1.0722278847462012,1.5526369306150551
2025-01-03,1,0.01259602672149196,0.01259602672149196,1.0857336958339932,1.5721939868818577
2025-01-06,0,0.005538045085450305,0.005538045085450305,1.0917465379923144,1.5809008680642833
2025-01-07,1,-0.01110391288210788,-0.0,1.0796238795451047,1.5809008680642833
2025-01-08,0,0.001560360190925314,0.001560360190925314,1.0813084816679193,1.5833676428446102
2025-01-10,1,-0.01541164380306681,-0.0,1.0646437405072182,1.5833676428446102
2025-01-13,1,0.0015754440882007614,0.0015754440882007614,1.0663210271942403,1.585862150036978
2025-01-14,1,0.0011462798112440442,0.0011462798112440442,1.067543329460018,1.5876799918029816
2025-01-15,0,0.018312792279639112,0.018312792279639112,1.0870930287019338,1.6167548456994087
2025-01-16,1,-0.0021126894641922966,-0.0,1.0847963387135984,1.6167548456994087
2025-01-17,1,0.009991058969353706,0.009991058969353706,1.095634602903425,1.63290793870178
2025-01-21,1,0.008768227105582893,0.008768227105582893,1.1052413759264172,1.6472256463508264
2025-01-22,1,0.006137941522227575,0.006137941522227575,1.1120252828597998,1.6573362210420413
2025-01-23,0,0.00531348622041139,0.00531348622041139,1.1179340138770244,1.6661424542151368
2025-01-24,0,-0.002855132319398823,-0.0,1.1147421643430488,1.6661424542151368
2025-01-27,1,-0.014580715690809543,-0.0,1.098488425776205,1.6661424542151368
2025-01-28,0,0.009217869449967608,0.009217869449967608,1.1086141486773107,1.6815007378431406
2025-01-29,1,-0.004678895760321544,-0.0,1.103427058637232,1.6815007378431406
2025-01-30,0,0.005275414405311762,0.005275414405311762,1.1092480936375775,1.6903713510581007
2025-01-31,0,-0.005046825754019935,-0.0,1.10364991179101,1.6903713510581007
2025-02-03,1,-0.007608597684666707,-0.0,1.0952526836274743,1.6903713510581007
2025-02-04,1,0.007224881828679752,0.007224881828679752,1.103165754839227,1.702584084316081
2025-02-05,0,0.003908672930614365,0.003908672930614365,1.107477668963148,1.7092389286385423
