Date,Close,sentiment_score,article_count,daily_return,return_5d,return_20d,rsi_14,volatility_5d,volatility_20d,macd,price_vs_ma20,sentiment_lag1,sentiment_lag2,sentiment_lag3,sentiment_ma5,sentiment_ma20,sentiment_change,target
2010-02-23,1094.6,-0.956,1.0,-0.0109780889993224,0.029620641325921238,,40.120663649810666,0.01723583932786438,,-14.454549665375453,,0.0222,0.0115,-0.4231,-0.19526,,-0.9782,1
2010-02-26,1104.49,-0.0789,2.0,0.009035264023387723,0.03592230277905428,,42.62746691929874,0.017180505172441334,,-12.89360578548849,,-0.956,0.0222,0.0115,-0.28486,,0.8771,1
2010-03-01,1115.71,0.0172,1.0,0.010158534708326838,0.0558036981660579,,44.30512932896964,0.014654473381061382,,-10.628665642722353,,-0.0789,-0.956,0.0222,-0.19679999999999997,,0.09609999999999999,1
2010-03-02,1118.31,0.0296,1.0,0.0023303546620536686,0.039795073964909555,,43.64047735210906,0.01449977202962623,,-8.525608087646788,,0.0172,-0.0789,-0.956,-0.19318,,0.012400000000000001,1
2010-03-05,1138.7,0.2835,2.0,0.01823286924019296,0.028868308109329055,,48.572597136736185,0.01092672104088402,,-5.154202788511839,,0.0296,0.0172,-0.0789,-0.14092,,0.25389999999999996,0
2010-03-08,1138.5,-0.4278,1.0,-0.00017563888644944736,0.04010597478530986,,47.94146825369081,0.007235218692589939,,-2.4700054425968574,1.0228664788641284,0.2835,0.0296,0.0172,-0.03528000000000001,-0.10969500000000001,-0.7113,1
2010-03-09,1140.45,-0.3212,1.0,0.001712779973649603,0.03255801320066287,0.003457924189631534,50.516170485882554,0.007679535196149173,0.017557053599118348,-0.183298058274886,1.0244375676513255,-0.4278,0.2835,0.0296,-0.08374000000000001,-0.11692499999999999,0.10660000000000003,1
2010-03-10,1145.61,-0.5147,1.0,0.004524529790871812,0.026799078613618077,0.007448511177163608,66.49918962672551,0.007408220151517125,0.01758225762358145,2.0219945996213937,1.0286813356039073,-0.3212,-0.4278,0.2835,-0.19012,-0.11853,-0.19350000000000006,1
2010-03-12,1149.99,-0.5972,1.0,0.0038232906486501683,0.0283284599082545,0.007269924410304052,63.67098248234142,0.0072864330229493995,0.017580447875688857,4.076147028461946,1.03222963090289,-0.5147,-0.3212,-0.4278,-0.31548,-0.149085,-0.0824999999999999,1
2010-03-15,1150.51,0.2509,1.0,0.00045217784502482594,0.010371476244840583,0.0030776473870512966,83.35877862506327,0.002054663001227813,0.01755368595381014,5.680555375519816,1.0325328020390216,-0.5972,-0.5147,-0.3212,-0.32199999999999995,-0.13733,0.8481,1
2010-03-22,1165.81,0.0034,1.0,0.013298450252496652,0.023987703118137915,0.01757035123245565,84.77866219718821,0.005041846381402571,0.01778665797473656,8.093347608963768,1.0453196612648188,0.2509,-0.5972,-0.5147,-0.23576000000000003,-0.11323999999999998,-0.24750000000000003,1
2010-03-24,1167.72,0.03,1.0,0.0016383458711111132,0.02391161383664331,0.016770283684238052,90.89770047076011,0.005053198506208451,0.017784259090813943,10.04384468520675,1.0461289546638932,0.0034,0.2509,-0.5972,-0.16551999999999997,-0.11134999999999999,0.0266,1
2010-04-01,1178.1,-0.3701,2.0,0.008889117254136103,0.028360436797863153,0.03520087167410635,90.29774530500096,0.005372007200298154,0.01770299654592678,12.28558632972522,1.053537614047168,0.03,0.0034,0.2509,-0.1366,-0.13394999999999999,-0.4001,1
2010-04-05,1187.44,-0.3094,2.0,0.007928019692725607,0.032565500569570194,0.09488903027117734,88.2816206459474,0.0053422983551288,0.013472651566900194,14.647001164265475,1.0570262191355004,-0.3701,0.03,0.0034,-0.07904,-0.14877,0.060699999999999976,1
2010-04-12,1196.48,-0.251,1.0,0.007613016236609926,0.039956193340344726,0.08443606569263684,99.80445834826232,0.0041656192452982,0.013162416412246695,17.05133471082263,1.0606753685166075,-0.3094,-0.3701,0.03,-0.17942,-0.163575,0.05840000000000001,1
2010-04-14,1210.65,-0.0162,4.0,0.011843073014174976,0.03846252819927787,0.13878149956260422,99.81231231100092,0.0037186359828724814,0.009139244479175229,19.871124985637152,1.066263993806659,-0.251,-0.3094,-0.3701,-0.18334,-0.16241,0.2348,1
2010-04-15,1211.67,0.0134,1.0,0.0008425226118200513,0.037637447333264795,0.13644847541244998,99.79244499647453,0.004039813697991969,0.009193950139440849,21.935278335014345,1.0603691124516161,-0.0162,-0.251,-0.3094,-0.18666,-0.180195,0.0296,0
2010-04-19,1197.52,-0.1062,2.0,-0.01167809717167223,0.016484169425345918,0.1332210382875636,86.7018811961691,0.009265350650936447,0.00945852804213717,22.17374288697647,1.0415699044815896,0.0134,-0.0162,-0.251,-0.13388,-0.16435,-0.1196,1
